id,actval,predval
8103406,1.0073189999999999,1.6708945
1528807,3.155077,3.0028043
1524481,4.284346,3.1047587
2310075,2.518383,2.9561381
1510504,1.603202,1.1975975
1010156,3.060387,3.1811671
9011891,3.231618,3.8213246
1008878,0.896703,1.0213816
1540176,0.096368,0.71700865
7222529,1.64154,1.7127869
2310095,2.67598,3.43646
1531503,4.524902,2.0974212
1509711,1.9393440000000002,1.935602
1521250,2.81371,1.5120043
1528308,3.385604,4.886553
2008727,0.635535,2.1676989
1531017,1.5631180000000002,1.5422595
1509200,0.32471599999999956,0.5682032
1532228,1.426568,1.0686495
4000522,1.111313,1.6227638
1509287,2.204025,2.1647668
8103509,2.50121,1.5991971
1537412,1.510221,3.0140023
1510212,3.410112,3.7780397
4343089,4.791418,3.5401587
7221252,1.5994820000000005,1.4963485
1535665,2.900937,4.5777063
8103853,3.631822,3.1622124
1513213,3.003096,3.9132059
4324722,1.844974,1.8775902
2212578,3.005685,2.765141
1536208,0.407973,0.42156565
1523008,1.73876,2.503563
1011067,4.172056,3.1531186
1537424,1.125768,4.4740257
7204041,2.703912,2.5132377
8100228,1.711205,2.7669783
4000937,2.487261,2.8406792
1539529,1.753143,1.5486842
2235793,4.707344,2.916977
1008779,3.806658,2.9605358
8103857,2.998589,3.4443815
1544671,4.263624,3.0705462
1528828,3.586176,2.5974898
9012640,4.159026,3.2360206
4306710,0.13624100000000006,0.8798498
7222637,2.249331,3.089227
1509714,0.08121,1.5139337
1509151,2.013035,2.4215999
1001007,3.640194,3.2653697
4326003,1.344299,0.79803324
4313276,1.157553,3.0542352
1535673,3.2855760000000003,2.4899783
1536153,5.7579899999999995,3.7818992
1010179,2.240401,2.9345293
1007196,4.306001,2.8324535
1509267,1.482975,1.4710097
1537314,3.533126,2.6088402
2212013,3.063862,3.8564963
2014305,3.885731,3.8806615
2106933,3.961663,3.7264714
9014886,0.824999,2.8548799
2310071,3.314453,3.0061684
1530580,3.301253,3.158674
1526376,1.453617,1.4060432
4118936,4.651224,3.4311924
2008540,5.14821,3.9684224
1008036,3.1197,2.5851254
2012796,2.362456,2.67592
2007881,0.717253,4.9402876
4124106,3.936635,3.4746354
4334785,2.429762,1.7092634
2310414,2.1611,1.8005924
2107119,1.519499,1.4195075
1537471,3.544854,2.8626914
2310750,0.943182,3.07243
2002878,3.977757,3.1583838
7221013,3.424395,4.097583
1535336,2.947517,2.848853
1525528,0.8839240000000004,1.4593996
1536567,1.344112,0.8074354
2002227,1.1825400000000004,2.3389835
1536134,4.171386,3.7368166
4027803,3.142943,2.6633425
2216823,3.371817,3.2079778
1525343,3.23007,2.898929
2100569,0.404965,0.47987354
1001178,3.404111,2.5770466
7222984,2.688324,0.6952654
4314710,2.947364,2.7938967
9016517,0.719151,1.1058724
4331323,4.629576,3.6583738
1528845,5.499852,3.8199983
1010088,5.044904,5.4921594
1010052,0.799077,0.9627993
1507757,2.8689569999999995,3.9220724
1527232,1.6021280000000004,0.54192054
1531061,1.984547,2.0586936
2107044,2.633501,3.412065
7115398,4.67318,3.3141456
9008681,4.628271,4.3525667
8103449,3.173982,2.1704183
1532046,3.962414,2.5313501
1528016,2.382611,2.922119
1537375,1.725978,1.5782369
1525715,2.674694,2.8853302
1522153,1.713916,2.7886238
4001677,2.109137,2.6777024
2016392,3.683816,2.2963212
8104000,4.197041,4.2984047
1535655,2.418742,1.2588615
8103400,3.15123,1.5443258
9015127,2.965922,2.4857578
1528699,0.635773,1.0394409
1535231,3.609245,3.345338
1525647,2.956832,2.8803036
1540957,2.037158,2.2380311
2016941,3.557084,3.0042524
4331401,3.090082,2.0280654
9009053,1.912293,3.4088638
2310690,2.586888,2.1676388
1509165,0.3676440000000003,1.2492316
8103955,2.307318,1.6577697
2106695,2.665156,2.1072888
1527169,2.0322009999999997,1.7711742
1528508,3.4391489999999996,1.6392322
