id,actval,predval
2206580,2.643234,2.593824
4314681,2.064662,3.383228
1509714,0.08121,1.9903967
1535633,2.664131,2.701993
1525243,3.061738,2.4731936
9011275,1.2822329999999997,1.5899665
9008991,3.179453,3.0252295
7221250,2.235065,2.749863
1011239,2.562085,0.78863096
7209464,3.5295349999999996,2.775488
1510088,3.026988,2.5219762
2238958,2.80661,3.100641
1530279,1.8845770000000002,1.5787953
1001178,3.404111,2.883613
2101260,3.231979,2.0658877
1537461,2.762358,2.8804193
1539897,3.100112,3.8834758
4321047,0.021761,2.6850762
4102047,1.707473,1.3616219
1532026,2.159559,1.7468587
1008205,1.236464,1.139636
1524054,3.58584,2.6967328
1517788,3.226257,0.62282276
4333799,2.9276,3.6069155
4030713,1.68641,1.6534544
1524612,1.504369,3.1272306
1523383,0.22608100000000064,0.32646406
4340050,3.1591329999999997,2.6140938
1010629,3.096801,2.017072
1509519,2.296546,2.8212357
9009142,2.301405,4.102003
1509160,2.1662359999999996,1.5586184
7023152,5.464676000000001,3.9854932
1538238,2.59856,3.6970196
2102087,3.32806,2.8914673
1010114,4.77055,1.9291859
1001745,3.941651,2.4947386
9007578,1.6601559999999997,2.1790679
7221217,1.490326,2.9646506
1010045,5.317755,0.5820184
1539742,3.656035,2.3413332
1527946,5.091779,1.596237
1530581,2.987835,2.311805
1011258,2.657034,2.4709668
1509506,1.161688,1.6914399
1508533,6.301959,2.784327
5910178,4.163529,3.8357697
9008845,0.954898,0.4890808
1536799,2.869448,1.6705165
1542204,0.9639,1.6272094
1527437,6.066108,2.423523
1536825,1.672867,5.6372447
1526852,5.087285,0.4707855
2002191,0.849439,1.7070792
2310659,2.659531,2.4604669
1528722,3.015829,4.035675
1527528,4.699208,3.4857047
1544336,4.325795,3.9456677
8103917,1.67274,1.526443
2105802,3.354197,2.2405124
9014377,1.580138,0.6346824
2101705,1.654853,2.4606528
1509203,2.143879,3.9611435
2208448,1.702603,4.2485356
1522025,2.755727,4.730336
1542146,3.659907,3.1211147
1011029,4.982561,1.7149073
8103797,4.305586,1.9559155
1537252,1.104792,1.5190742
1537550,4.973311,5.493924
1008523,1.796147,4.0191317
4336800,3.929639,2.7222185
1530182,4.898011,3.7773638
1536943,4.282414,4.328737
8100498,0.954294,1.0426638
9015570,3.127649,2.8285637
2107312,2.223154,2.2323503
1000184,3.066091,3.1474018
1535381,3.0699,3.6104126
1510715,3.372639,4.200188
1526213,1.729191,3.0072062
7026500,3.351088,3.9340115
8103919,3.871775,3.0642416
2105059,3.2395,3.2587504
1001161,1.8463699999999998,2.2942486
7222880,2.278679,2.6519527
4000818,1.85564,3.3419285
8101639,5.110356,2.6591072
4000604,4.344349,2.6986127
1521093,3.056483,1.8030609
1005028,0.341911,2.553394
2104022,2.821955,1.8335336
1541822,3.325211,4.0937862
1535454,4.34002,3.4369326
1531552,2.183779,2.293791
1509234,1.995081,1.5719575
1509701,2.269231,1.8983839
1535648,3.177852,3.2866857
4125021,4.785627,3.2808242
2012621,3.461911,1.6512606
1530146,2.864903,3.5244808
2107246,4.336784,3.2888014
4030512,0.570269,3.8457723
1510384,3.035458,2.573587
9007704,2.068318,1.7473158
1511326,1.6856120000000003,3.0358982
9011205,1.75531,3.8443632
1537471,3.544854,2.549303
1534703,4.333621,4.068905
1528370,2.929077,1.5888491
2107131,3.843828,3.5565624
9013928,2.196336,1.2263172
9004196,2.595047,3.8728824
8104220,3.093443,2.7913072
1537331,2.916242,2.8597946
1511083,2.623395,3.5738773
4000172,2.526041,3.130619
1527723,3.126592,2.5159101
8103942,3.1103,3.7808447
4340646,2.054722,3.1273868
8102891,2.86661,2.50342
1001294,1.38274,1.6133424
1523213,2.6933680000000004,3.242186
7019865,1.452526,2.3345547
1508971,6.935732000000001,2.0083714
1527810,3.673034,3.8171825
7202579,0.091571,4.4142475
4338005,3.643544,3.3294258
1528372,2.877611,2.7819352
8104058,2.749861,2.7299259
1531571,2.469059,2.3547928
4106584,3.503567,1.6472448
1000053,6.20401,5.6027646
9012497,2.998973,1.2518296
1538286,3.339563,3.612908
1537894,0.952686,1.5561622
1533825,2.5894670000000004,3.7100148
2106982,1.823831,3.567157
1527737,4.005169,2.5756974
1008463,1.674998,1.381619
1001469,3.005965,3.8204036
2106092,0.11953,2.6441658
1008779,3.806658,4.4006147
1537401,3.857043,2.530696
9007478,2.0707619999999993,2.0114558
4030676,3.898843,3.4887462
7023549,2.327821,1.6761942
2002251,3.467338,1.8907106
2310997,3.452698,2.7792795
4338416,3.042019,3.10768
2310616,3.467888,3.761664
